url	acm	aide	al	and	appliquée	armée	automatique	axe	baptiste	compétitions	congo	cyclisme	distributions	détaillé	espagne	fenêtre	france	hiérarchique	interaction	japanese	jour	kamer	lignes	louvois	marguerite	mesure	montpellier	métrique	nement	new	nœud	police	positionnement	probabilités	province	relativité	rois	romain	régression	scalaires	spectral	stables	statistiques	styles	union	université	utrecht	valeurs	variable	événement
Christian_Baudelot	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Glossaire_du_data_mining	0	4	0	12	0	0	3	2	0	0	0	0	0	0	0	9	0	2	6	0	0	0	2	0	0	10	0	0	0	2	9	0	0	3	0	0	0	0	2	0	0	0	8	0	0	0	0	17	24	0
Espace_probabilisable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0
Moyenne	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	5	0	0	0	0	28	5	0
%23Tuff.C3.A9ry2010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Loi_de_Poisson	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	5	0	0	0	0	2	4	1
Loi_de_Bernoulli	2	3	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	0	0	0	0	1	0	0	0	7	0	0	0	0	3	23	0
Loi_uniforme_continue	0	5	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	1	0	0	0	10	0	0	0	0	1	0	0	0	8	0	0	0	0	1	8	0
Loi_de_Fisher	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	1	0	0	0	6	0	0	0	0	1	2	0
Loi_normale	0	4	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	7	0	0	0	0	7	29	0
Loi_des_grands_nombres	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0	6	0	0	0	0	0	3	0
Loi_de_Student	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	4	0	0	0	0	7	18	0
Martingale_(calcul_stochastique)	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	4	0	0	0	0	0	2	0
Processus_stochastique	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	1	0	0	0	8	0	0	0	0	1	0	0	0	7	0	0	0	0	9	6	0
Processus_de_Markov	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	6	0	0	1	0	2	2	0
Calcul_stochastique	0	5	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	1	0	0	0	4	0	0	0	0	0	8	0
Histogramme	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	7	0	0	0	0	4	6	0
Intervalle_de_confiance	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	4	0	0	0	0	3	6	0
Test_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	4	0	0	0	0	0	2	0
Quantile	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	3	0	0	0	6	0	0	0	0	11	6	0
Mouvement_brownien	0	2	1	12	1	0	0	2	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	8	0	0	0	1	0	0	0	11	0	0	0	0	1	0	0	0	4	0	0	2	0	2	3	0
Estimateur_(statistique)	0	4	0	1	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	1	0	0	0	6	0	0	0	0	4	10	0
Test_(statistique)	0	1	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	3	0	0	0	12	0	0	0	0	9	6	0
Diagramme_circulaire	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	6	0	0	0	0	3	1	0
Statistique_descriptive	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	21	0	0	0	0	9	25	3
France	0	4	0	2	0	5	0	1	0	0	9	1	0	17	11	0	340	0	0	0	5	0	4	0	0	2	1	0	0	1	0	0	1	1	3	0	3	2	0	0	0	0	3	0	28	4	0	5	2	2
Test_de_Fisher	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0
501c	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Jeu_de_hasard	0	0	0	14	0	0	0	0	0	0	0	0	0	6	1	0	13	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	1	1	0	0	0	0	3	0	0	0	0	2	1	0
